Country Name,Country Code,Series Name,Series Code,2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2010 [YR2010],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2009 [YR2009],2008 [YR2008],2007 [YR2007],2006 [YR2006],2005 [YR2005]
Afghanistan,AFG,Annual deforestation (% of change) - (for online table only),ER.FST.DFST.ZG,..,..,..,..,0,..,..,..,..,..,0,0,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.29650624,0.259295334,0.18562366,0.146235617,0.172896741,0.149789334,0.131694556,0.1632953,0.159824372,..,0.243614036,0.036573704,0.03378536,0.045573659,0.051518377,0.041655394,0.171862421,0.128416559,0.065312346,0.066583291,0.060418781
Afghanistan,AFG,Forest area (% of land area),AG.LND.FRST.ZS,1.850994088,1.850994088,1.850994088,1.850994088,1.850994088,1.850994088,1.850994088,1.850994088,1.850994088,1.850994088,1.850994088,1.850994088,1.850994088,1.850994088,1.850994088,1.850994088,1.850994088,1.850994088,1.850994088,1.850994088,1.850994088
Albania,ALB,Annual deforestation (% of change) - (for online table only),ER.FST.DFST.ZG,..,..,..,..,-0.019039555,..,..,..,..,..,-0.090621366,0.250004894,..,..,..,..,..,..,..,..,..
Albania,ALB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.66942319,1.50324046,1.533630039,1.668337371,1.60377515,1.557664358,1.788786074,1.782738948,1.69224832,..,1.527623663,1.026213109,1.055495882,1.232378783,1.338984981,1.404058688,1.441493562,1.384311249,1.39393137,1.339995739,1.338209399
Albania,ALB,Forest area (% of land area),AG.LND.FRST.ZS,28.59465328,28.64660584,28.69855839,28.75051095,28.8024635,28.80218978,28.79206204,28.7919708,28.7919708,28.7919708,28.54270073,28.07664234,28.12324818,28.16985401,28.21645985,28.26306569,28.49609489,28.44948905,28.40288321,28.35627737,28.30967153
Algeria,DZA,Annual deforestation (% of change) - (for online table only),ER.FST.DFST.ZG,..,..,..,..,-1.437634892,..,..,..,..,..,-1.963949048,0.540870684,..,..,..,..,..,..,..,..,..
Algeria,DZA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,3.294742583,3.609307651,3.644979345,3.795632251,3.933495912,3.820090337,3.825637988,3.920109085,3.977650459,..,3.173654529,2.578744484,2.50067461,2.586712195,2.733373662,2.737354064,3.174573294,3.102451083,3.007289846,2.966914681,2.841351373
Algeria,DZA,Forest area (% of land area),AG.LND.FRST.ZS,0.808484553,0.811675498,0.814866442,0.818057387,0.821247986,0.821247986,0.815789794,0.810331602,0.81411035,0.81830896,0.805293609,0.662960693,0.677193984,0.691427276,0.705660567,0.719893859,0.791060317,0.776827026,0.762593734,0.748360442,0.734127151
American Samoa,ASM,Annual deforestation (% of change) - (for online table only),ER.FST.DFST.ZG,..,..,..,..,0.190895548,..,..,..,..,..,0.189981636,0.186439524,..,..,..,..,..,..,..,..,..
American Samoa,ASM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,Forest area (% of land area),AG.LND.FRST.ZS,87,86.85,86.7,86.55,86.4,86.25,86.1,85.95,85.8,85.65,87.15,88.65,88.5,88.35,88.2,88.05,87.3,87.45,87.6,87.75,87.9
Andorra,AND,Annual deforestation (% of change) - (for online table only),ER.FST.DFST.ZG,..,..,..,..,0,..,..,..,..,..,0,0,..,..,..,..,..,..,..,..,..
Andorra,AND,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,5.850886105,5.944654173,5.942800412,5.807127723,6.026181822,6.080600282,6.104133912,6.362975399,6.481217432,..,6.157197775,7.952286282,7.721549062,7.566239884,7.24241557,7.344262326,6.156687476,6.439303857,6.53104692,6.790542773,7.353780012
Andorra,AND,Forest area (% of land area),AG.LND.FRST.ZS,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319
Angola,AGO,Annual deforestation (% of change) - (for online table only),ER.FST.DFST.ZG,..,..,..,..,0.212066537,..,..,..,..,..,0.210938279,0.206580548,..,..,..,..,..,..,..,..,..
