country,year,poverty_gap_index_international_povline
Albania,1996,0.140050713
Albania,2002,0.261761085
Albania,2005,0.131325488
Albania,2008,0.051241116
Albania,2012,0.169100863
Albania,2014,0.211919326
Albania,2015,0.016856002
Albania,2016,0.030296816
Albania,2016,2.465952106
Albania,2017,0.062586781
Albania,2017,2.043394482
Albania,2018,0.009204713
Albania,2018,1.324100688
Albania,2019,0
Algeria,1988,0.846761959
Algeria,1995,1.104656112
Algeria,2011,0.150922639
Angola,2000,16.36606188
Angola,2008,11.64960223
Angola,2018,22.69759727
Argentina,1980,0.221566259
Argentina,1986,1.121933822
Argentina,1987,0.970137618
Argentina,1991,0.740244623
Argentina,1992,1.307434009
Argentina,1993,1.429445554
Argentina,1994,1.578478991
Argentina,1995,2.635980151
Argentina,1996,3.149845248
Argentina,1997,2.613428244
Argentina,1998,2.61096278
Argentina,1999,2.864696376
Argentina,2000,3.350259679
Argentina,2001,5.529516087
Argentina,2002,6.833223224
Argentina,2003,2.870881448
Argentina,2004,1.967471181
Argentina,2005,1.404116658
Argentina,2006,1.176665437
Argentina,2007,0.966392809
Argentina,2008,0.898530735
Argentina,2009,0.81454856
Argentina,2010,0.460491276
Argentina,2011,0.423932822
Argentina,2012,0.410345262
Argentina,2013,0.388800469
Argentina,2014,0.368324576
Argentina,2016,0.384170174
Argentina,2017,0.29027337
Argentina,2018,0.454530814
Argentina,2019,0.467561247
Argentina,2020,0.525435187
Armenia,1996,3.592860894
Armenia,1999,2.918608647
Armenia,2001,3.117165406
Armenia,2002,2.187067383
Armenia,2003,1.215283164
Armenia,2004,1.269047281
Armenia,2005,0.619095598
Armenia,2006,0.339436688
Armenia,2007,0.293343676
Armenia,2008,0.195670077
Armenia,2009,0.207254007
Armenia,2010,0.157952717
Armenia,2011,0.195865826
Armenia,2012,0.163879777
Armenia,2013,0.357927585
Armenia,2014,0.232574854
Armenia,2015,0.222800465
Armenia,2016,0.161673647
Armenia,2017,0.140509866
Armenia,2018,0.234729367
Armenia,2019,0.133071069
Armenia,2020,0.060195521
Australia,1981,0.485444944
Australia,1985,0.575165899
Australia,1989,0.450419431
Australia,1995,0.616231955
Australia,2001,0.615208708
Australia,2003,0.754708637
Australia,2004,0.445456922
Australia,2008,0.308393279
Australia,2010,0.295446759
Australia,2014,0.373145701
Australia,2016,0.303188169
Australia,2018,0.402285581
Austria,1987,0
Austria,1994,0.23946173
